Year,GDI
1980,11251.514
1981,12675.819
1982,13339.761
1983,14308.357
1984,15984.056
1985,17138.835
1986,17998.302
1987,19245.56
1988,20933.72
1989,22294.341
1990,23470.377
1991,24260.623
1992,25617.557
1993,26810.45
1994,28589.123
1995,30186.938
1996,32060.142
1997,34263.86
1998,36472.193
1999,38637.934
2000,41380.734
2001,42782.787
2002,44025.72
2003,45905.396
2004,48963.712
2005,52366.875
2006,56079.692
2007,57817.761
2008,58291.588
2009,57104.112
2010,59865.754
2011,62448.178
2012,65771.351
2013,67832.141
2014,71231.468
2015,73762.102
2016,75154.137
2017,78370.409
2018,82588.189
2019,85945.941
2020,85101.561
2021,93776.094
2022,102645.89
